,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
New Caledonia,NCL,East Asia & Pacific,High income,Yes,,19 March,2,Indefinitely,,,,"""Following the presence of two confirmed cases of Covid-19 coronavirus in New Caledonia, all schools (public and private) will close on Thursday March 19, 2020 at the end of the day and until further notice.""",Yes,21 April,,,,"""Educational continuity is set up in public secondary schools so that your child continues to learn.
The arrangements vary according to the establishments: pockets distributed in tribes, virtual class on the cned, homework via Pronote, group classes on social networks, telephone exchanges with teachers, etc.""",Yes,No,Yes,No,No,Broadcasts and online materials available in French,,,,,,,,,,,,,,,,"https://www.rnz.co.nz/news/pacific/412092/coronavirus-sixth-case-in-tahiti-two-in-new-caledonia

",https://www.lumni.fr/article/revisez-avec-la-maison-lumni,https://www.facebook.com/acnoumea,,
New Zealand,NZL,East Asia & Pacific,High income,Yes,,23 March,102,4 weeks,4,,,,Yes,28 April,,,Schools planned to be re-opened April 29th. ,"""Distance education will be provided where possible. School holidays will start early, from 30 March to 14 April inclusive. During the holiday break, we will support schools to develop e-learning and other distance learning options for Term 2.

Tertiary providers are moving to full distance learning as quickly as possible.""",Yes,No,No,No,,,,,Yes (new),,,,,,,,,,,,Low-income households receiving a $25 per week benefit increase and a doubling of the Winter Energy Payment; subsidized sick leave; wage subsidies (Gentilini),https://www.rnz.co.nz/news/national/412400/teachers-at-odds-over-urgent-closure-of-schools-early-childhood-centres,http://www.education.govt.nz/,https://www.facebook.com/EducationGovtNZ/,"https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/new_zealand_decision-tool-for-early-learning-and-schools-responses-to-covid-19.pdf

https://planipolis.iiep.unesco.org/en/2020/covid-19-novel-coronavirus-information-and-advice-students-wh%C4%81nau-and-education",https://www.theguardian.com/world/2020/apr/27/new-zealand-prepares-to-lift-strict-lockdown-after-eliminating-coronavirus
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,No,10 April,,,,,,,"Schools remain open as of April 10. ""Currently in the prevention phase the government offers video tutorials with good hygiene advice in schools.  The contingency plan would help students at home (including a methodology of distance learning with guidance on the use of online platforms). The team is preparing pedagogical guides, by grade, and organizing digital content to be shared in the educational platform."" (From WB)",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mined.gob.ni/biblioteca/,https://www.mined.gob.ni/noticias/,https://www.facebook.com/minednicaragua/,,
Niger,NER,Sub-Saharan Africa,Low income,Yes,,20 March,0,6 April,2,,,,Yes,1 June,,,,Nothing as of March 20th,No,No,No,No,,,,,,,,,,,,,,,,,,http://nigerdiaspora.net/index.php/politique-niger/8791-message-a-la-nation-du-president-de-la-republique-sur-la-situation-de-la-pandemie-du-coronavirus-covid-19-notre-seule-arme-reste-la-prevention-appliquons-donc-avec-rigueur-ces-mesures-et-prions-dieu-pour-qu-il-protege-notre-pays-et-au-dela-le-monde-declare-sem-issoufou-mahamadou,,,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Yes,,26 March,11,Indefinitely,,,,Decision made by federal MoE to close all unity schools beginning March 26th. ,No,,,,,"Federal MoE advertising some free digital learning apps, but there are no concrete plans for distance learning at the Federal level. May vary by state. ",No,No,No,No,,,,,Yes (new),Yes,"WAEC Cancelled, 20 March https://www.dailytrust.com.ng/covid-19-waec-postpones-2020-wassce.html",,,,,,,,Yes,"""Aalthough schools are closed, I have instructed the Ministry of Humanitarian Affairs, Disaster Management and Social Development to work with State Governments in developing a strategy on how to sustain the school feeding program during this period without compromising our social distancing policies,"" Mr Buhari had said. Currently no concrete plan for how school feeding will be implemented. ",,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/covid-19_guide_for_schools.pdf.pdf

https://qz.com/africa/1821361/coronavirus-lagos-nigeria-shuts-schools-ban-public-gatherings/

https://allafrica.com/stories/202003310031.html

https://www.premiumtimesng.com/news/headlines/386540-how-well-continue-to-feed-pupils-despite-closure-of-schools-nigerian-govt.html","http://education.gov.ng/wp-content/uploads/2020/03/COVID-19-FG-ORDERS-CLOSURE-OF-UNITY-SCHOOLS.pdf

http://education.gov.ng/wp-content/uploads/2020/03/COVID-19-Impact-Mobile-Classroom-App-Declare-Portal-Free-For-Nigeria-Students-as-FG-Shut-down-Schools-Nationwide.pdf",https://www.facebook.com/nigeducation/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/nigeria-education-sector-covid-19-contingency-plan.pdf,
North Macedonia,MKD,Europe & Central Asia,Upper middle income,Yes,,11 March,7,Indefinitely,,,,MoE making online and television instruction available,School year ended,,,,,MoE making online learning platforms available including digital reading tools and tools available to support instruction; educaitonal programming will be broadcast on television,Yes,Yes,Yes,No,Yes,Broadcasts available in Macedonian & Albanian. ,Yes,Information for parents available online in Macedonian. ,,,,,,,,,,,,,"Subsidizing wages for workers in some sectors (tourism, transport, food) ","http://www.mon.gov.mk/index.php/2014-07-23-14-03-24/vesti-i-nastani/3115-izvestuvanje-za-prekin-na-vospitno-obrazovniot-proces-vo-uchilishtata

http://www.mon.gov.mk/index.php/2014-07-23-14-03-24/vesti-i-nastani/3119-besplatni-digitalni-platformi-aplikacii-i-sodrzhini-za-uchenje-doma

https://balkaninsight.com/2020/03/11/balkan-countries-tighten-security-as-coronavirus-cases-surge/",http://www.mon.gov.mk/index.php/2014-07-23-14-03-24/vesti-i-nastani/3129-se-intenziviraat-chasovite-vo-ramki-na-edukativnata-programa-tv-uchilnica-na-mrtv,https://www.facebook.com/UpravaMON/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/nigeria-education-sector-covid-19-contingency-plan.pdf,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,Yes,,16 March,0,30 March,2,,,Initially closed schools for 2 days and extended until March 30th on March 18th. ,School year ended,,,,,MoE posting suggestions for online learning on social media pages. Education office did a parent survey to learn about internet access and technology at home. ,Yes,No,No,No,No,Materials available in English,Yes,Materials for parents available in English. ,,,,,,,,,,,Yes,"Meal support initial available on all islands. ""The Grab & Go Meal Distribution will be suspended after Monday, March 30, 2020 for the islands of Saipan and Tinian. The island of Rota will remain open and operational until schools resume.""",,https://www.rnz.co.nz/international/pacific-news/411869/pacific-nations-take-further-measures-against-coronavirus,,https://www.facebook.com/cnmipss/,,
Norway,NOR,Europe & Central Asia,High income,Yes,,12 March,1000+,2 weeks,2,Yes,13 April,"Initial closure extended until April 13 on March 24. 

Remote counseling available to students in need. From MoE ""Children and adolescents can also contact a confident adult if you experience something difficult. It is still possible for students to contact teachers or the school health service at their schools if they need to talk about difficult things.""",Yes,20 April,,,,MoE assessing options for distance learning if schools remain closed past April 13.,No,No,No,No,,,,,,Yes,Lower-level exams cancelled; All students in upper secondary education who have passed all subjects receive diplomas,,,,,,Yes,Free childcare for parents while schools are closed.  ,,,Utility/financial obligation support (Gentilini),https://www.regjeringen.no/no/tema/utdanning/innsikt/barnehager-skoler-hoyskoler-og-universiteter-stenges-pa-grunn-av-koronaviruset/id2693333/,,https://www.facebook.com/kunnskapsdepartementet/,,
Oman,OMN,Middle East & North Africa,High income,Yes,,14 March,22,One month,4,,,"Will broadcast classes for Grade 12 students on Oman TV. ""The Supreme Committee on coronavirus (Covid-19) decided to suspend all classes for a month in Oman starting Sunday, March 15. The Ministry in cooperation with the Sultanate of Oman TV, broadcasted lessons through the program for grade12 students. The program presents educational lessons according to the curricula except for Friday and Saturday, according to the following schedule"" ",School year ended,,,,,"Classes for Grade 12 students will be broadcast on TV - a schedule for class broadcasts posted on MoE website

MoE partnered with online learning provider to offer educational programming",Yes,No,Yes,No,No,Materials available in Arabic.,Yes,Materials for parents available on MoE website. Materials available in Arabic. ,Yes (new),,,,,,,,,,,,,"https://gulfbusiness.com/oman-bans-entry-for-all-non-omanis-except-gcc-citizens/

https://home.moe.gov.om/topics/0/show/2006","https://twitter.com/EduGovOman

https://home.moe.gov.om/Parents",,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/oman_covid_schools_guidelines.pdf,
Pakistan,PAK,South Asia,Lower middle income,Yes,,13 March,122,6 April,3,Yes,1 July,Initially planned 3 week closure. Announced all schools would be closed until May 31 on March 27.,No,,,,,"MoE preparing for online instruction.

(April 13) 'Tele School' Television channel launched to broadcast lessons daily. Lessons align with the national curriculum. One of the main goals of this platform is to reach students in remote areas and out of school students. The MoE is also hopeful that this program could help to improve adult literacy. The initiative was launched by the Prime Minister and he has noted that he hopes the initiative will continue after school resumes in order to continue supporting those who are out of school or need additional support at home. ""Officials of the education ministry told that the dedicated TV channel, teleschool, would be available on satellite, terrestrial and cable networks so that it would be accessible to most parts of the country, including hard-to-reach remote areas, ensuring equity in learning."" (MoE, April 13) Initiative is supported by PTV. ",Yes,No,Yes,No,No,,No,,,Yes,All national exams postponed until further notice,,,,Yes,Additional benefits to existing benefits program (for women); expanded to include all low-income households (Gentilini),,,,, ,"https://twitter.com/mo_fept?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Amo_fept&ref_url=http%3A%2F%2Fmofept.gov.pk%2F

https://twitter.com/SchoolEduPunjab",http://mofept.gov.pk/Detail/ODJlMmMyYTktN2QxYy00Y2Y0LWIwYjYtZmYxMDNlYmRkNmQw,https://www.facebook.com/mfept/,,
Palau,PLW,East Asia & Pacific,High income,Yes,,23 March,,2 weeks,2,,,Decision to close schools beginning March 23rd was made on March 18th. Teachers instructed to develop plans to cover missed lessons.,Yes,20 April,,,,Nothing as of March 20th - viewed as short term closure for the time being.,No,No,No,No,,,,,Yes (new),,,,,,,,,,,,,,,https://www.facebook.com/432473447296454/photos/pcb.635874073623056/635873580289772/?type=3&theater,"https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/palau_moe_covid_response_directiveno01-20_press_release.pdf

https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/palau_contingency-planning-education-covid-19.pdf",
Panama,PAN,Latin America & Caribbean,High income,Yes,,11 March,8,Until March 20th for some places and April 7th for others,2,,,"Ministry is developing online modules, virtual platforms, and other tools to continue learning from home; opened 'innovation proposals' for people to submit ideas for virtual classrooms and online learning. ",No,,,,,"Online modules and distance learning. Virtual classes taught online. Schedule posted on MoE facebook page.

""Panamanian teachers will offer classes, according to the national curriculum, which will be broadcast by television channels, radio stations and by the educational portal of the Ministry of Education www.educapanama.edu.pa""",Yes,Yes,Yes,No,No,,Yes,Homebased learning guides available online in Spanish.,,,,,,,,,,,Yes,"""In times of emergency we are with you! This week we carried out the first transfer of food from the ""Study without hunger"" program to @MIDAPma, to support the preparation of food bags"" (MoE, March 28)",Paid sick leave; labor market regulation (Gentilini),"https://twitter.com/MeducaPma?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AMeducaPma&ref_url=http%3A%2F%2Fwww.meduca.gob.pa%2F

https://ticotimes.net/2020/03/11/costa-rica-overwhelmed-by-coronavirus-testing-as-panama-records-first-death-what-you-need-to-know-today","http://www.meduca.gob.pa/

http://www.meduca.gob.pa/node/3445

http://moodle.educapanama.edu.pa/",https://www.facebook.com/MeducaPma/,,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Yes,,23 March,1,3 April,2,,,"""The announcement  of a confirmed case and other unconfirmed cases in Papua New Guinea compels the Minister for Education to issue this Direction. This direction is consisten with The Prime Minister's Statementon 22 March 2020 to bring forward the term 1 holidays. COVID 19 is a new virus for which there is no vaccine to treat it. Schools play a critical role in protecting the health of their students, staff, and the community from highly contagious, infectious diseases as the current virus COVID-19""",Yes,4 May,,,,Nothing as of March 29,No,No,No,No,,,,,,,,,,,,,,,,,,https://www.education.gov.pg/,https://www.education.gov.pg/documents/Suspension.of.Classes.in.the.national.Education.System.pdf,https://www.facebook.com/pg/Department-of-Education-Papua-New-Guinea-840968639252866/posts/?ref=page_internal,,
